_class,_id,code,Year,Quarter,Month,Day,createdBy,description,file,Font,Font image,Year,Quarter,Month,Day,lastModifiedBy,name,name.1,qrCodePatch
in.pixiverse.user.management.securetag.db.entity.Design,6632d383382ecd43e5d5bafe,D7,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Infividhya with design code D7,design-files/prod/1718625764757/infividhya back.png,infividhya front.png,design-files/prod/1718625764422/infividhya front.png,2024,Qtr 2,June,19,a1034d9a-1051-7074-049c-fb99233de741,Infividhya,infividhya back.png,"{""qrArea"":{""topLeftStartingCoordinates"":{""x"":617,""y"":1006},""dimensions"":{""w"":568,""h"":568}},""qrIdArea"":{""textColor"":""WHITE"",""fontSize"":50,""startingCoordinates"":{""x"":766,""y"":2609}}}"
in.pixiverse.user.management.securetag.db.entity.Design,6632d383382ecd43e5d5baff,D8,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Love Peace with design code D8,design-files/prod/default/securetagback.png,securetagfrontdesign.png,design-files/prod/default/securetagfrontdesign.png,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Love Peace,securetagback.png,
in.pixiverse.user.management.securetag.db.entity.Design,6632d384382ecd43e5d5bb00,D9,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Take A Break with design code D9,design-files/prod/default/securetagback.png,securetagfrontdesign.png,design-files/prod/default/securetagfrontdesign.png,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Take A Break,securetagback.png,
in.pixiverse.user.management.securetag.db.entity.Design,6632d384382ecd43e5d5bb01,F40,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Birthday - Mihaan with design code F40,design-files/prod/default/securetagback.png,securetagfrontdesign.png,design-files/prod/default/securetagfrontdesign.png,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Birthday - Mihaan,securetagback.png,
in.pixiverse.user.management.securetag.db.entity.Design,6632d385382ecd43e5d5bb02,F48,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Its Time To travel (Blue) with design code F48,design-files/prod/default/securetagback.png,securetagfrontdesign.png,design-files/prod/default/securetagfrontdesign.png,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Its Time To travel (Blue),securetagback.png,
in.pixiverse.user.management.securetag.db.entity.Design,6632d385382ecd43e5d5bb03,F51,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Travel Wild Camping with design code F51,design-files/prod/1718797241740/camping back.png,camping front.png,design-files/prod/1718797241535/camping front.png,2024,Qtr 2,June,19,a1034d9a-1051-7074-049c-fb99233de741,Travel Wild Camping,camping back.png,"{""qrArea"":{""topLeftStartingCoordinates"":{""x"":617,""y"":1006},""dimensions"":{""w"":568,""h"":568}},""qrIdArea"":{""textColor"":""WHITE"",""fontSize"":50,""startingCoordinates"":{""x"":766,""y"":2609}}}"
in.pixiverse.user.management.securetag.db.entity.Design,6632d386382ecd43e5d5bb04,F52,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Hiking Brown Shade with design code F52,design-files/prod/default/securetagback.png,securetagfrontdesign.png,design-files/prod/default/securetagfrontdesign.png,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Hiking Brown Shade,securetagback.png,
in.pixiverse.user.management.securetag.db.entity.Design,6632d386382ecd43e5d5bb05,F53,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Hiking White Shade with design code F53,design-files/prod/1718626050692/hiking light back.png,hiking light front.png,design-files/prod/1718626050519/hiking light front.png,2024,Qtr 2,June,19,a1034d9a-1051-7074-049c-fb99233de741,Hiking White Shade,hiking light back.png,"{""qrArea"":{""topLeftStartingCoordinates"":{""x"":617,""y"":1006},""dimensions"":{""w"":568,""h"":568}},""qrIdArea"":{""textColor"":""WHITE"",""fontSize"":50,""startingCoordinates"":{""x"":766,""y"":2609}}}"
in.pixiverse.user.management.securetag.db.entity.Design,6632d387382ecd43e5d5bb06,F54,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Its Time To travel with Black theme and  with design code F54,design-files/prod/1719661794584/time to travel back.png,time to travel front.png,design-files/prod/1718797537953/time to travel front.png,2024,Qtr 2,June,29,a1034d9a-1051-7074-049c-fb99233de741,Its Time To travel Black Theme,time to travel back.png,"{""qrArea"":{""topLeftStartingCoordinates"":{""x"":1,""y"":1},""dimensions"":{""w"":1,""h"":1}},""qrIdArea"":{""textColor"":""BLACK"",""fontSize"":5,""startingCoordinates"":{""x"":1,""y"":1}}}"
in.pixiverse.user.management.securetag.db.entity.Design,6632d387382ecd43e5d5bb07,F55,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Tag designed for Its Time To Travel (Pink) with design code F55,design-files/prod/default/securetagback.png,securetagfrontdesign.png,design-files/prod/default/securetagfrontdesign.png,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Its Time To Travel (Pink),securetagback.png,
